from_user,to_user,action,event_time
user33,user42,SHARE,1970-01-21T11:27:26.940+01:00
user40,user28,FOLLOW,1970-01-21T11:27:26.940+01:00
user12,user16,FOLLOW,1970-01-21T11:27:26.940+01:00
user22,user37,LIKE,1970-01-21T11:27:26.941+01:00
user38,user16,SHARE,1970-01-21T11:27:26.941+01:00
user45,user36,LIKE,1970-01-21T11:27:26.941+01:00
user21,user39,COMMENT,1970-01-21T11:27:26.941+01:00
user11,user20,COMMENT,1970-01-21T11:27:26.941+01:00
user9,user24,LIKE,1970-01-21T11:27:26.942+01:00
user45,user6,LIKE,1970-01-21T11:27:26.942+01:00
user4,user24,SHARE,1970-01-21T11:27:26.942+01:00
user12,user3,SHARE,1970-01-21T11:27:26.942+01:00
user49,user41,FOLLOW,1970-01-21T11:27:26.942+01:00
user21,user8,SHARE,1970-01-21T11:27:26.943+01:00
user14,user16,SHARE,1970-01-21T11:27:26.943+01:00
user18,user17,FOLLOW,1970-01-21T11:27:26.943+01:00
user32,user16,FOLLOW,1970-01-21T11:27:26.943+01:00
user25,user12,LIKE,1970-01-21T11:27:26.943+01:00
user39,user45,COMMENT,1970-01-21T11:27:26.944+01:00
user33,user31,LIKE,1970-01-21T11:27:26.944+01:00
user50,user41,SHARE,1970-01-21T11:27:26.944+01:00
user35,user3,SHARE,1970-01-21T11:27:26.944+01:00
user45,user41,FOLLOW,1970-01-21T11:27:26.944+01:00
user47,user16,SHARE,1970-01-21T11:27:26.945+01:00
user33,user30,SHARE,1970-01-21T11:27:26.945+01:00
user48,user26,COMMENT,1970-01-21T11:27:26.945+01:00
user3,user14,LIKE,1970-01-21T11:27:26.945+01:00
user21,user28,SHARE,1970-01-21T11:27:26.945+01:00
user46,user49,COMMENT,1970-01-21T11:27:26.946+01:00
user20,user8,LIKE,1970-01-21T11:27:26.946+01:00
user23,user40,FOLLOW,1970-01-21T11:27:26.946+01:00
user21,user48,FOLLOW,1970-01-21T11:27:26.946+01:00
user16,user33,FOLLOW,1970-01-21T11:27:26.946+01:00
user39,user10,SHARE,1970-01-21T11:27:26.947+01:00
user21,user33,FOLLOW,1970-01-21T11:27:26.947+01:00
user33,user44,LIKE,1970-01-21T11:27:26.947+01:00
user12,user33,LIKE,1970-01-21T11:27:26.947+01:00
user29,user16,FOLLOW,1970-01-21T11:27:26.947+01:00
user35,user12,SHARE,1970-01-21T11:27:26.948+01:00
user10,user27,COMMENT,1970-01-21T11:27:26.948+01:00
user2,user38,LIKE,1970-01-21T11:27:26.948+01:00
user7,user43,LIKE,1970-01-21T11:27:26.948+01:00
user42,user34,SHARE,1970-01-21T11:27:26.948+01:00
user14,user15,COMMENT,1970-01-21T11:27:26.949+01:00
user19,user12,FOLLOW,1970-01-21T11:27:26.949+01:00
user29,user33,LIKE,1970-01-21T11:27:26.949+01:00
